,feature,rank
6200,Y00787_s_at,1
1393,L20941_at,1
282,D21261_at,1
1881,M27891_at,1
5551,L06797_s_at,1
1778,M19507_at,1
6180,M14483_rna1_s_at,1
4935,Y00433_at,1
5307,L20688_at,1
6199,M28130_rna1_s_at,1
2401,M96326_rna1_at,2
4157,X15183_at,3
1762,M17733_at,4
2185,M69043_at,5
1673,M11147_at,6
5715,X57351_s_at,7
5709,M25079_s_at,8
531,D63874_at,9
2641,U05259_rna1_at,10
4618,X78992_at,11
1703,M13792_at,12
929,HG3549-HT3751_at,13
6208,Z19554_s_at,14
4327,X59417_at,15
4195,X17042_at,16
2344,M91036_rna1_at,17
6178,M14328_s_at,18
5771,U22376_cds2_s_at,19
6605,X00437_s_at,20
5925,J00105_s_at,21
1961,M33680_at,22
6802,M19045_f_at,23
5228,Z84721_cds2_at,24
1108,J04164_at,25
40,AFFX-HUMRGE/M10098_3_at,26
6612,Z48501_s_at,27
567,D79205_at,28
6883,U01317_cds4_at,29
2353,M92287_at,30
3257,U46751_at,31
2348,M91438_at,32
6788,HG3576-HT3779_f_at,33
4051,X04085_rna1_at,34
5641,M19311_s_at,35
4210,X51521_at,36
2120,M63138_at,37
38,AFFX-HUMRGE/M10098_5_at,38
1693,M12886_at,39
5087,Z23090_at,40
6463,U06155_s_at,41
6796,J03801_f_at,42
5710,HG1428-HT1428_s_at,43
6805,X14008_rna1_f_at,44
1248,L08246_at,45
6264,U20734_s_at,46
6183,M26708_s_at,47
2287,M84526_at,48
4241,X52851_rna1_at,49
542,D64142_at,50
5647,D49824_s_at,51
4049,X03934_at,52
3337,U51004_at,53
7069,M33600_f_at,54
4679,X82240_rna1_at,55
39,AFFX-HUMRGE/M10098_M_at,56
6776,HG2887-HT3031_at,57
1132,J04990_at,58
5190,Z69881_at,59
4389,X63527_at,60
3343,U51240_at,61
5167,Z48950_at,62
6772,X98482_r_at,63
18,hum_alu_at,64
1351,L17131_rna1_at,65
6241,M24485_s_at,66
4141,X14046_at,67
5224,Z83821_cds2_at,68
5727,M14199_s_at,69
2233,M77232_rna1_at,70
2596,U02493_at,71
1031,HG821-HT821_at,72
5506,D86974_at,73
1549,L38941_at,74
6509,U23852_s_at,75
4029,X02317_at,76
1637,L49169_at,77
803,HG1612-HT1612_at,78
5951,U05255_s_at,79
2299,M86400_at,80
4846,X95735_at,81
5938,J02621_s_at,82
311,D26308_at,83
50,AFFX-M27830_5_at,84
1081,J03592_at,85
6345,M92843_s_at,86
1375,L19779_at,87
5500,Z15115_at,88
2802,U15008_at,89
757,D88270_at,90
2799,U14971_at,91
1684,M11722_at,92
1676,M11353_at,93
4594,X77737_at,94
6695,X76223_s_at,95
2092,M60854_at,96
2796,U14968_at,97
352,D30655_at,98
6048,U89922_s_at,99
3451,U58682_at,100
463,D50310_at,101
1932,M31627_at,102
6753,HG3991-HT4261_r_at,103
4406,X64364_at,104
1774,M19283_at,105
1222,L06505_at,106
6184,X64072_s_at,107
42,AFFX-HUMGAPDH/M33197_M_at,108
2798,U14970_at,109
1432,L26247_at,110
6387,S54005_s_at,111
5975,M21119_s_at,112
6217,M27783_s_at,113
7004,X51345_at,114
6167,M13560_s_at,115
4317,X58529_at,116
7096,X01677_f_at,117
2042,M57710_at,118
44,AFFX-HSAC07/X00351_5_at,119
1908,M29696_at,120
6919,X17093_at,121
4350,X60489_at,122
4177,X16064_at,123
2110,M62762_at,124
1420,L25080_at,125
6276,M30703_s_at,126
1927,M31303_rna1_at,127
5121,Z32765_at,128
6669,X56681_s_at,129
6344,M63438_s_at,130
1810,M21904_at,131
5707,HG1322-HT5143_s_at,132
5931,M87789_s_at,133
2060,M59807_at,134
6538,X85116_rna1_s_at,135
1023,HG613-HT613_at,136
6759,L11672_at,137
7065,M22612_f_at,138
5728,U43901_rna1_s_at,139
240,D14710_at,140
4279,X55715_at,141
4462,X67951_at,142
4298,X56932_at,143
6762,M21388_r_at,144
5620,HG4312-HT4582_s_at,145
895,HG3214-HT3391_at,146
5198,Z70759_at,147
